epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
113	0.6902	1.7602	|	0.7089	0.7252	0.7252	0.7252	|	0.2991	0.3662	0.3662	0.3662	|  Best result at epoch 105
114	0.6871	2.0290	|	0.5399	0.5692	0.5692	0.5692	|	0.2861	0.3652	0.3652	0.3652	|  Best result at epoch 105
115	0.7182	1.6884	|	0.6627	0.6972	0.6972	0.6972	|	0.2431	0.3262	0.3262	0.3262	|  Best result at epoch 105
116	0.6942	1.6860	|	0.6699	0.6996	0.6996	0.6996	|	0.2509	0.3258	0.3258	0.3258	|  Best result at epoch 105
117	0.6966	1.9566	|	0.6100	0.6216	0.6216	0.6216	|	0.2508	0.3258	0.3258	0.3258	|  Best result at epoch 105
118	0.6934	1.7729	|	0.6673	0.6668	0.6668	0.6668	|	0.1901	0.2620	0.2620	0.2620	|  Best result at epoch 105
119	0.7075	1.6781	|	0.7089	0.7252	0.7252	0.7252	|	0.2991	0.3662	0.3662	0.3662	|  Best result at epoch 105
120	0.7129	1.5740	|	0.7088	0.7252	0.7252	0.7252	|	0.2983	0.3662	0.3662	0.3662	|  Best result at epoch 105
121	0.7072	1.5997	|	0.5946	0.6092	0.6092	0.6092	|	0.3006	0.3662	0.3662	0.3662	|  Best result at epoch 105
122	0.6908	1.7875	|	0.6710	0.7000	0.7000	0.7000	|	0.3015	0.3666	0.3666	0.3666	|  Best result at epoch 105
123	0.6883	1.7014	|	0.6001	0.6096	0.6096	0.6096	|	0.3015	0.3666	0.3666	0.3666	|  Best result at epoch 105
124	0.6889	1.6042	|	0.7110	0.7252	0.7252	0.7252	|	0.2983	0.3662	0.3662	0.3662	|  Best result at epoch 105
125	0.7143	1.4699	|	0.5729	0.5840	0.5840	0.5840	|	0.3040	0.3674	0.3674	0.3674	|  Best result at epoch 105
126	0.6806	1.8548	|	0.6311	0.6396	0.6396	0.6396	|	0.3448	0.4106	0.4106	0.4106	|  Best result at epoch 105
127	0.6930	1.6024	|	0.7500	0.7448	0.7448	0.7448	|	0.2318	0.2950	0.2950	0.2950	|  Best result at epoch 105
128	0.7422	1.9832	|	0.6097	0.5870	0.5870	0.5870	|	0.3598	0.4102	0.4102	0.4102	|  Best result at epoch 105
129	0.7308	1.6047	|	0.5700	0.5840	0.5840	0.5840	|	0.3040	0.3674	0.3674	0.3674	|  Best result at epoch 105
130	0.7003	1.7939	|	0.6404	0.6472	0.6472	0.6472	|	0.2982	0.3662	0.3662	0.3662	|  Best result at epoch 105
131	0.7282	1.6811	|	0.5169	0.5056	0.5056	0.5056	|	0.2508	0.3258	0.3258	0.3258	|  Best result at epoch 105
132	0.7662	1.8766	|	0.5360	0.5330	0.5330	0.5330	|	0.3429	0.4102	0.4102	0.4102	|  Best result at epoch 105
133	0.7280	1.5752	|	0.6702	0.7000	0.7000	0.7000	|	0.2992	0.3674	0.3674	0.3674	|  Best result at epoch 105
134	0.6907	1.8406	|	0.6005	0.6114	0.6114	0.6114	|	0.3398	0.4106	0.4106	0.4106	|  Best result at epoch 105
